Hansard volume,Rā,Ingoa kaikōrero,Speaker turn,Paragraph number,Te Reo length,Ambiguous length,Other length,Is Māori (%),Kōrero
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",The CHAIRMAN,183,14,28,4,3,90.3225806451613,"Titiro kaha koe te ahuatanga o te ao Maori inaianei tu rangatira nga iwi, nga rangatahi koki, ki raro
te Tiriti o Waitangi kete koe te hokinga mai nga whenua Maori, me nga wahi ika."
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",Dr GREGORY,186,1,14,6,0,100.0," Kei roto i nga ture o tenei whare, nga mahi o o hoa o tenei taha o te wharehui nei."
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",Dr GREGORY,186,2,46,15,3,93.87755102040816,"Rongo atu au nga korero o nga iwi Maori roto i tenei rohe, tena rohe, tera rohe. Ahakoa kei hea te
haere kahore rongo au nga korero pai ki a koe, e taka whanaunga, o to mahi Pena. O te Tari Maori,
patai i nga patai o ratou nei mahi e ngari mahara koe he tangata, he tangata he tangata, kahore koe
Te Atua."
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",Dr GREGORY,186,3,14,7,4,77.77777777777777,"E te Minita Maori hei aha nga hua o te Mana Enterprises me te Maori Access? E pehea ana nga
ahuatanga o Te Kohanga Reo?"
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,1,54,31,22,71.05263157894737," In pursuance of the memorandum I handed to you,
Mr Speaker, I shall translate my speech at the appropriate time: Te mea tuatahi ano kei te mihi atu ki
te Whare katoa, kia koutou e Ta Kereama me te Kaunihera Maori, ki o tatou rangatira e whakarongo
mai i waho i te Whare nei i nga ahuatanga e korero tatou me ki mo te taonga nei i haina ai i o taua
matua i o taua tupuna i te wa. Me ki e tika tonu nga korero i korerohia ai te Pirimia Tuarua i roto i te
Whare nei i korerohia nei e tatou i tenei wa."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,2,71,25,9,88.75,"No te rua tekau ma iwa o Hune i tenei tau i puta mai te korero a te Kooti Piira me haere korua ra te
Kaunihera Maori me te Kawanatanga, ki te kimihia tetehi wahanga hei mene mana ki te ture i haina e
tatou i te kawanatanga i tera tau. Koia ra te patai. I tenei ra, kua hoki mai ano te Minita me te pire e
nga korero e nga Whakaeatanga a te Kaunihera Maori me te Kawanatanga. Tenei ra te mihi atu kia
koe taku rangatira ara me aku tuakana, i tautokongia ai te kaupapa i korerohia ai ki te Kaunihera Maori."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,3,10,2,3,76.92307692307692,No reira kei te tautoko atu nga mihi atu kia koutou e Ta Kereama ma.
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,4,70,28,8,89.74358974358974,"Tuarua ka whakarongo au nga korero i korerohia ai i te mema mo Tauranga, kaore i ia i mohio ai i te
ihi, te mana, te tapu o nga korero i korerohia ai a te Kaunihera Maori ki te kawangatanga. Mohio tonu
ratau i te ihi, te tapu o nga mea nei i haina ai e o ratou Matua mai ra ano i te wa. Koia nei ra te korero
hei korero atu kia koe, kia mohio ai i pewhea ai te tautoko ai i te kaupapa i tenei ra. Na Koia nei ra nga
korero ko ia Whakaatu nei i aku tuakana i tenei po."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,5,79,33,9,89.77272727272727,"Tuarua me te hoatu ano i te mana ki te Taraipiunara hei kokiri i nga Whakaeatanga i korerohia ai e
te iwi a tae noa atu ki te Kawanatanga. Ki au nei, Koia ra tetehi wahanga tino nui, kia mohio mai te
Whare nei, no tenei poetitanga i roto i nga kaupapa a te Roopu Reipa, i reira e iri mai ana te korero
nei na, me whakapanuitia atu te kaupapa a te Taraipiunara i tenei wa me ki Kua puawai nga korero i
korerohia ai e tatau i tekau ma rima o Akuhata. No reira kia mohio mai e koutou koia nei ra nga
whakaputanga i tenei wa me nga korero e korerohia ai i roto i te Kaunihera Maori."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,6,39,16,6,86.66666666666667,"Noreira kei aku rangatira ahakoa enei korero pito kia tatou i tenei wa, tenei ra te mihi atu kia koutou
e noho mai na i runga i o tatou Marae Maha, ma te wa ka kite ano tatou i roto i te Komiti hei wananga
i nga korero i roto i te Pire nei e korerohia nei tatou i tenei po."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),471,7,50,18,3,94.33962264150944,"No reira, kia timata ai ratou ara, koutou i te kokiri ai i o koutou whakaaro i runga i te Pire nei i te tau
e haere mai nei. I taku mohiotanga kei roto i ona nei korero nga whakaeatanga tae atu ki te Kaunihera
Maori me penei hoki i nga whakatakotoranga korero mo tenei Pire i te tau e haere mai nei. No reira,
tena koutou, tena koutou, tena koutou."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Dr GREGORY (Northern Maori),500,1,56,13,0,100.0," E te rangatira o tenei Whare tena koe. Enei kupu o nga tupuna Toi
te kupu Toi te whenua Toi te mana Nau te rourou Naku te rourou Ka ora ai te iwi
Ki nga rangatira o tenei Wharehui me nga tupuna kua haina te Tiriti o Waitangi ara nga tupuna katoa
o tatou i roto i tenei Whare me nga tupuranga kua taemai nei tena koutou, tena koutou."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Dr GREGORY (Northern Maori),500,2,20,5,0,100.0,"Kei te iwi whanui nga iwi o te motu, kei raro i tenei Tiriti o Waitangi te kotahitanga o nga iwi katoa o
Niu Tireni."
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),1114,6,111,68,9,92.5,"No reira, e te rangatira tenei ra te mihi atu ki a tatou katoa. Nga iwi o te motu e noho mai ra i runga
i o tatou marae maha. He mihi nei ki o tatou mate ki runga i o tatou marae maha, a, puta noa i te
motu. I tenei ata e mihi ana ki to tatou rangatira, a Te Rangihau i utaina ki runga i te whare nei ki runga
i te motu ano hoki, ona nei whakaaro me ki i nga kaupapa a kui ma, a koro ma. I korero penei i te mea
e mohiotia ai e ahau i uhia ano ki runga ki a tatou i roto i te Kawanatanga, me ona kaupapa katoa, i
nga taonga o tatou matua me o tatou tipuna. Tenei ra ka mihi atu ki o tatou mate. Uhia ra ki Tua o te
Arai. Ka hoki mai ki a tatou---te hunga ora, e mihi nei, e tangi nei ki a ratou e Korerohia nei i tenei tau,
ara, i te tau hou. No reira, kei aku rangatira, tena koutou, tena koutou, kia ora huihui ano tatou!"
Vol 488.txt,"THURSDAY, 5 MAY 1988",Dr GREGORY (Northern Maori),170,2,11,4,0,100.0,E te wharenui me nga mema o te komiti o tenei pire tena koutou katoa.
Vol 489.txt,"WEDNESDAY, 15 JUNE 1988",Hon. K. T. WETERE (Minister of Maori Affairs),169,1,94,62,9,91.2621359223301," Me ki, mai i te tau 1882, koia tena te pitihana tuatahi
i haere mai i a Ngapuhi Nui Tonu ki te aroaro o te Kuini. No te tau 1877 i taea ai a Wi Parata me te
Pihopa o Poneke ki te whakahau mai i roto i tenei whare tetehi ture e pa ana ki o tatou whenua. No
te tau 1884 i haere a Kingi Tawhiao ki Ingarangi ki te takoto i te kaupapa i he ngia ai e te kawanatanga,
i tona iwi i tera wa. Ko te tau 1890 ko te timatanga tera o te Kotahitanga o Te Tiriti o Waitangi. No te
tau 1924 i haere a Tahupotiki Wiremu Ratana ki Ingarangi ki te korero atu ki te Kingi o tera wa. Na, i
te tau 1932 i hari mai tetahi pitihana a Tirikatene i roto i te whare nei, e kia ana; 40 000 i haina ai i
taua tiriti i tera wa, maku e kia atu kua ora mai nga kaupapa i roto i tera tiriti."
Vol 489.txt,"WEDNESDAY, 15 JUNE 1988",Hon. K. T. WETERE (Minister of Maori Affairs),169,2,173,84,27,86.5,"No te tau 1938 na Te Heuheu me Te Poari o Aotea i kokiringia ai ki mua i te aroaro o te Kooti Piira
tetahi kaupapa i whakahengia ai e ratou i roto i te Kooti i tera wa, ara, i te ture. No te tau 1975 i
whakatungia ai Te Taraipiunara, i tera wa ko Matiu Rata te Minita. No te tau 1985 i whakarerekia ai te
ture ra kia whakahokia ano mai i te tau 1975 tae atu ano ki te tau 1840. Koia tenei e toku rangatira
toku nei whakaaro, te mea nui o roto i tenei korero i tenei ra. Na reira tenei ra te mihi atu ki te motu,
tenei ra te mihi atu ki te Kaunihera Maori, ki Muriwhenua ano, na ratou ano hoki i whakatakoto ai i o
ratou whakaaro i mua i te Taraipiunara, ara i tenei ra, i puta mai ra te ripoata, i tenei wa tenei tatou e
korero nei i nga ahuatanga e pa ana ki a ratou. Kei te mihi ano ki te Apitihana, e, ki te Minita ano, e
korero nei i roto i te aroaro o te whare nei i tenei ra. Kare pea he wa i tua atu i tenei, i korerotia ai, i
oati ai, i te kaupapa, i korerohia ai e o taua matua me o taua tupuna i te wa. Tenei ra te mihi atu ki a
koutou, te whare nui tonu, i tenei wa, e korerotia nei i te take nei, me ona ritenga katoa e pa ana ki te
Tiriti o Waitangi, me te mohio ano i nga mamaetanga me era atu tuahuatanga i pa mai ki te iwi mai ra
ano, a, tae noa mai ki tenei ra."
Vol 489.txt,"WEDNESDAY, 15 JUNE 1988",Hon. K. T. WETERE (Minister of Maori Affairs),169,3,121,59,17,87.68115942028986,"Ka rongo atu, a e whakaae ana te whare nei, anei ke te wa ma tatou hei titiro atu ki nga ahuatanga
e pa ana ki te kaupapa nei, te kaupapa i haina ai e o taua matua, e o taua tupuna i te wa. I tenei ra, ko
tatou nga uri, i korerohia ai i te take i korerohia ai e ratou i tera wa. Tenei ra te mihi atu ki te iwi o te
Tai Tokerau, naku ra tenei korero ki a ratou i tera ra, i runga i te marae i Otiria ``E, koutou nga uri, nga
kaitiaki, o te taonga nei, tena koutou. Tena koutou te whakatakoto mai nei i te kaupapa i maa i ahau
kia hoki ano ra ki te kawanatanga kia korero atu ki a ratou, anei ke te wa hei whakatutuki i te korero,
i te kaupapa, i korerohia ai e ahau i tenei ra. Anei ke te rarangi korero, anei ke te rarangi whara i ngakau
ki muri whaia ai e o tatou matua me o tatou tupuna, ara, i tenei ra ko tatou tenei e hui nei, e korero
neio, e wanangatia nei i te kaupapa nei."
Vol 489.txt,"WEDNESDAY, 15 JUNE 1988",Hon. K. T. WETERE (Minister of Maori Affairs),169,4,8,1,1,88.88888888888889,"No reira tena koutou, tena koutou, a, tena tatou katoa."
Vol 489.txt,"WEDNESDAY, 15 JUNE 1988",Dr GREGORY (Northern Maori),178,1,51,5,4,92.72727272727273," To te Tai Tokerau, to te Tai Rawhiti, to te Tai Manauru, to te Wai
Pounamu, tena koutou. Te Wharenui o te motu tena koe. Te Ikanui-o-Maui karanga. Te Tiriti o
Waitangi, te whakahoki, karanga. Nga iwi katoa, te oranga o te kaupapa, tena koutou katoa. Toku
matua i muri ki ahau tena koe. Te Atua rungarawa manaakitia tenei huihuianga."
Vol 489.txt,"TUESDAY, 21 JUNE 1988",Mr Doug Kidd,169,1,1,0,0,100.0, Taihoa!
Vol 490.txt,"TUESDAY, 26 JULY 1988",Hon. K. T. WETERE (Minister of Maori Affairs),388,1,110,40,17,86.61417322834646," I move, That the Maori Trust Boards Amendment Bill
be introduced. Tihei Mauri Ora. E nga whatu o nga waka, nga iwi o Ngati Awa, Hauraki, Maniapoto,
Whanganui, Ngati Whatua; tena koutou, tena koutou, tena koutou, katoa. Ka tangi, ka mihi hoki ki a
tatau tini aitua, o tatau mate. Haere ra koutou ki te ao o te wahangutanga o te tangata ki reira whanga
mai ai kia matau kei muri nei. Haere, haere, haere oti atu. Tatau nga kanohi ora e tuohu nei i raro i te
maru o to tatau Kai Hanga me mihi atu hoki ki a ia, nana nei nga mea katoa. Kaati ra, me ki kua ea. Ko
tenei tetahi wa tino miharo mo koutou ina i roto i nga menemana o te ture mo nga Poari Kai tiaki; ka
tu koutou hei mana tuturu mo te iwi. Ka nui te koa o te kawanatanga me te minita Maori, kua tatu
tenei kaupapa. No reira, koianei te mihi atu, tena koutou katoa."
Vol 490.txt,"TUESDAY, 26 JULY 1988",Winston Peters,398,1,1,0,0,100.0, Tainui!
Vol 490.txt,"TUESDAY, 26 JULY 1988",Dr GREGORY (Northern Maori),501,1,40,13,5,88.88888888888889," E te wharenui o te motu tena koe. E tu ake nei ki te tautoko te mihi
o te Minita Maori ki te whare me nga iwi puta noa ki te motu. Ki Ngati Awa moe tika tonu ta koutou
tupuna kua wehia ki te Po ki te Matua mu ki te rangi nana nei nga mea Katoa."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,1,15,9,5,75.0," (Minister of Maori Affairs): I roto i te kupu a o tatou matua, kua hinga te totara
nui o te Wao-nui-a-Tane. Na reira, ka mihi atu ki a ia."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,2,22,13,0,100.0,"E te Papa, e Koro. Haere ki o tatou matua, haere ki o tatou tupuna. Haere ki te kainga i hangatia ai
mo koutou mo te hunga kua huri ano ki tua o te arai."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,3,53,22,3,94.64285714285714,"Whai muri atu i o tatou hoa. Whai muri atu ano hoki i to tuahine, i hinga atu inanahi nei, i roto ano i
te Moana o Taupo. Korua i tenei wa, kua tae atu ano ki te kainga. No reira, haere korua, haere korua,
haere. Whai muri atu ano i runga i nga taonga, i nga korero o roto i te marae nei. E mihi nei o hoa, me
ki, o uri, o roto i tenei marae."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,4,69,47,4,94.52054794520548,"Na reira, me pewhea te korero atu mou. Ka hoki ano i nga whakaaro i era a o matou matua, i
korerotia ai, i wanangatia ai, e koe, ki a ratou. Me pewhea i totika ai e taua, e te iwi, i roto i te motu
nei. Ana, ka hoki ano nga whakaaro ki tera a o taua matua ki a Te Hurinui, ki a Wiremu Ngata, ki a
Pateriki Hura---ratou o tera roopu Nahinara, i tautoko i a koe me o hoa, i roto i nga Kaupapa Maori---i
whakaturia ai e koe i te wa e minita ana koe i roto i tenei whare. Na reira, kei taku rangatira, haere ki
o tatou matua, haera ki o tatou tupuna."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,5,58,32,8,87.87878787878788,"E te Papa. Ka titiro atu i roto i to korero i te ono o Hurae, i te tau kotahi mano, e iwa rau, e whitu
tekau ma tahi. E korero ana koe i roto i te Kaute or tera wa; e meinga nei e koe: ``A, e whakakotahi nei
e tatou, e te iwi. E kore e taea, e puta ai nga kupu pera ano i te motu o te Tonga o Awherika.'' Na reira,
tenei ra te kupu e tautoko ana---i whakatungia ai i roto i tera taonga nui ki Amerika. No reira, tena
koe."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,6,44,17,5,89.79591836734694,"I penei ai taku korero, kei taku rangatira. Ahakoa enei korero poto mana, e tautoko ana i nga korero
kua korerohia nei i te nuinga o te whare nei. E tika tonu, he tangata humarie; he hoia no te whawhai
tuarua; he roia ano hoki; a, tuawha---he tangata toa ki te purei golf. Na reira, tenei ra te mihi atu ki a
ia, i tenei wa."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,7,16,7,1,94.11764705882354,"Heoi ano, e kui; e koe me te whanau. Tenei ra te tangi atu a te motu ki runga ki a koe, ara, koutou."
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",Hon. K. T. WETERE,9,8,26,12,3,89.65517241379311,"Otira, ma te Matua nui o te Rangi, e uhi ano i nga manaakitanga maha ki runga ki a koe, ki a koutou, i
nga wa katoa. No reira, tena koe, tena koutou, tena koutou, a, kia ora huihui ano tatou."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",PAUL EAST (Rotorua),2,2,41,23,4,91.11111111111111,"E te kai whakahaere, kei te tu atu ahau i tenei wa. Ki te whakamarama atu i nga mea uaua kei mua i
te paremata nei. I te wa e hiahia ana tetahi o nga mema ki te whakatau i ana tikanga. I raro i nga
kaupapa o te hui nei, a ki te korero hoki i roto i te reo Maori, a kihai hoki i whakapakeha tia."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",PAUL EAST (Rotorua),2,3,13,6,1,92.85714285714286,"He iti ake i te te kau nga mema, o te whare nei e mohio ana ki te korero Maori."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",PAUL EAST,7,2,45,22,2,95.74468085106383,"I te taite o tera wiki, ka tu ake te Minita o te tari Maori. Ki te whakahoki mai i nga pata-patai whaka
hirahira. A hohonu tonu a nga mema. O tua o te roopu nahinara. Ko tana whakahoki mai i roto i te reo
Maori---ki hai te paremata nei. I te matau mehemea i te tika ranei ana whakahoki. I nga patai nei, a i
te whakahe ranei."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",PAUL EAST,7,3,75,45,2,97.40259740259741,"Tera pea i te whakahe katoa ia i nga tikanga o te hui nei, a kohore te kai whakahaere o te hui i te
matau, tera pea kahore i te tika etahi o ana whakahoki i nga patai. Kei te tono atu ahau ki a koe e te
rangatira, kia titiro atu ano, ki te take nei, me te tirohanga pea, ana mehemea e hia hia ana. He mema
ki te whakahua i rotoite reo Maori me homai ano e ia ha whakapakeha---tanga, a tera ranei me panui
e ia kei te korero ia i roto i te reo Maori, kahore he whaka pakehatanga, a i reira ka whakatutia mai
hei tangata kaiwhakapakeha. Kia mohio ai nga mema he aha nga korero."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",PAUL EAST,7,4,35,17,4,89.74358974358974,"Kahore e whakaaro i te whaka reretanga. O nga ture whakahaere i te whare nei, i te wa i korero
Maori ai nga mema. A ka kore hoki e nomai i tera wa he kupu whakapakeha. Me titiro tonu tatou. I te
mea toko iti, noa o tatou mema e matau ana, i te reo Maori."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",PAUL EAST,7,5,66,35,5,92.95774647887323,"Tera pea kotatou keite he, mote kore emohio ki te reo Maori, engari ko te mea tuturu ke mehemea
kahore he kupu whakapakeha, kahore te nuinua o nga mema o te paremata nei, e kaha ki te matau,
he aha nga kupu a te mema Maori. I rotoi tenei take, ka taea e te Minita i raro i nga ture e tu ana, ki
te kore e whakahua atu ki te paremata, nga take e pa ana, ki nga moni e pau ana. I tana tari. Ko tenei
ture, he ture tino whakahe. I nae nganui i nga mana. Me nga ture. O te paremata nei."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",Hon. K. T. WETERE (Minister of Maori Affairs),8,1,19,5,1,95.0," Tuatahi, mehemea kei te mohio ano te mema ki te
korero Maori, ka korero mai i nga tikanga tika ki roto i te whare nei."
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",Hon. K. T. WETERE (Minister of Maori Affairs),8,2,216,93,23,90.3765690376569,"Tuarua, kei te mohio tonu ia e wha tonu nga meneti kei i aua hei whakamarama i aku korero i roto i
te reo Maori, i roto i te reo Pakeha. Na, me ki atu ki a ia e wha meneti kei aua hei whakamarama i nga
patai e patai nei a ia, i te whare nei. Tuarua, nga korero i korerohia e ehau i roto i te whare nei, he
korero hohonu e pa ana ki o tatau matua a Ta Apirana ma, a ta Te Rangihiroa ma, ratou nga tangata i
whakato ano i nga kaupapa e korerohia e tatou i roto i te whare nei. Kore rawa koe e korerohia e
ratou, i te mea i roto i te whare o te Kawana i tera po, i korero matou i tera wa. Kei whea koe i tera
wa? Kare koe i roto i te whare nei. Kei whea te mema o Tauranga? Kare e mohio ki te korero Maori,
kare i roto i te whare i tenei ra, kei Amerika tonu. Nana hoki te reo karanga o te kaiarahi o roto i tenei
whare mo koutou, mo koutou. E kore rawa koutou e taea ki te korero i to tatou reo Rangatira i roto i
te whare nei. Na kia mohio tonu mai koe, anei ke nga whakamarama e korerohia nei e ahau kia koe i
tenei wa. Tuarua kei te mohio tonu atu ahau, mohio tonu atu au i aua tonu, i nga korero e korerohia
nei e tatou i tenei ra. Kore koe i roto i tenei wa, i roto i te whare nei, e korero ana ahau i nga kaupapa
nei. Tuarua, ko nga kaupapa e korerohia nei mo Te Arawa, otira te Poari o Te Arawa ne---he Kaupapa
no ratou ano. Ehara no te whare nei, ehara no te whare nei. Na reira, kia mohio mai ano koe, hei tera
wa ka whakaputa ano ahau i nga korero i nga patai e korero nei koe."
Vol 494.txt,"THURSDAY, 24 NOVEMBER 1988",Hon. W. P. Jeffries,288,1,1,0,0,100.0, Heretaunga.
Vol 495.txt,"TUESDAY, 13 DECEMBER 1988",Mr SPEAKER,243,40,4,3,2,66.66666666666667,"Part I. Te Runanga o Ngati Awa
11.20 a.m."
Vol 496.txt,"TUESDAY, 7 MARCH 1989",Opposition Members,198,1,1,0,0,100.0, Aha!
Vol 497.txt,"THURSDAY, 13 APRIL 1989",Hon. K. T. WETERE (Minister of Maori Affairs),235,1,19,6,9,67.85714285714286," I move, That the Maori Affairs Restructuring Bill be
introduced. E nga reo, e nga mana; tatou katoa e hui nei i roto i te whare nei, tena koutou, tena koutou,
tena koutou katoa."
Vol 497.txt,"THURSDAY, 13 APRIL 1989",Hon. K. T. WETERE (Minister of Maori Affairs),235,2,16,5,0,100.0,"E taku rangatira, koia tenei te kaupapa tuatahi maku hei uru ki roto i tenei whare, e nga pire e rua."
Vol 497.txt,"THURSDAY, 13 APRIL 1989",Hon. K. T. WETERE (Minister of Maori Affairs),235,3,25,10,2,92.5925925925926,"Tuatahi ko te whakarereke o nga mahi o te Tari Maori, tuarua ko te whakatu i tetahi pire hei whakature
i te iwi hei mahi i nga kaupapa e whakaarohia nei e te Kawanatanga i tenei wa."
Vol 497.txt,"THURSDAY, 13 APRIL 1989",Hon. K. T. WETERE (Minister of Maori Affairs),235,4,43,21,4,91.48936170212765,"E taku rangatira. Kua pau pea te ono tekau tau mo tatou o tenei whare e mahi nei i tenei ture, mai
ano i te wa a Ta Apirana. Ka mihi atu ki a ia, i te mea, nana te taonga, nana te kaupapa i kokiringia ai i
roto i tenei whare mo tatou mo te iwi mai ano i tera wa, tae noa mai ki tenei ra."
Vol 497.txt,"THURSDAY, 13 APRIL 1989",Hon. K. T. WETERE (Minister of Maori Affairs),235,5,28,15,3,90.3225806451613,"He aha ra nga mahi i tera wa? Me ki, ko te tuatahi, hei whakamahi i o tatou mahi ahuwhenua, hei
whakatu whare mo te iwi, hei ako i a tatou tamariki i roto i nga mahi e mahitia nei e te Tari i tenei wa."
Vol 497.txt,"THURSDAY, 13 APRIL 1989",Hon. K. T. WETERE (Minister of Maori Affairs),235,6,40,21,6,86.95652173913044,"Tuarua, kia haria mai, e te iwi ki roto i enei tu mahi katoa i roto i nga mahi a te kawanatanga. Tenei ra
te mihi atu ki a ia me o tatou apiha i haria mai enei kaupapa mai ra ano, a, tae noa mai ki tenei ra. E
kore ano ra e mutu nga mihi ki a ratou, a tae noa mai ki tenei ra."
